"Año","Mes","lon","lat","ID Estado","Estado","Ciudad","Precio.promedio"
2017,1,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.65
2017,1,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.93
2017,1,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",18.1837037037037
2017,1,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.42
2017,1,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",17.2766666666667
2017,1,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",16.898
2017,1,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.67
2017,1,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",18.08
2017,1,2319645.58177018,805748.229520169,6,"Colima","Colima",17.9
2017,1,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.39
2017,1,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.86
2017,1,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.7
2017,1,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",18.01
2017,1,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",18.04
2017,1,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.9
2017,1,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.4009090909091
2017,1,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.83
2017,1,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",18
2017,1,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.74
2017,1,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",18.06
2017,1,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.28
2017,1,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.76
2017,1,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.86
2017,1,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",17.065
2017,1,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.19
2017,1,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.95
2017,1,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.8
2017,1,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.19
2017,1,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.91
2017,1,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.68
2017,1,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.55
2017,1,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.79
2017,1,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.87
2017,1,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.73
2017,1,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.14
2017,1,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.72
2017,1,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.51
2017,1,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.41
2017,1,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",18.1
2017,1,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.81
2017,1,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.55
2017,1,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.74
2017,1,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.9
2017,1,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.56
2017,1,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",17.11
2017,1,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.34
2017,2,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.6492857142857
2017,2,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.89625
2017,2,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",18.167037037037
2017,2,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.429
2017,2,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",16.975
2017,2,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",15.33375
2017,2,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.66
2017,2,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",18.0683333333333
2017,2,2319645.58177018,805748.229520169,6,"Colima","Colima",17.886
2017,2,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.375
2017,2,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.845
2017,2,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.685
2017,2,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.985
2017,2,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",18.0258333333333
2017,2,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.88
2017,2,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.3881818181818
2017,2,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.815
2017,2,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.995
2017,2,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.72
2017,2,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",18.0466666666667
2017,2,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.2675
2017,2,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.7307692307692
2017,2,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.84625
2017,2,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",16.8475
2017,2,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.175
2017,2,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.93625
2017,2,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.79375
2017,2,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.173
2017,2,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.895
2017,2,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.6666666666667
2017,2,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.5329411764706
2017,2,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.7771428571429
2017,2,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.8675
2017,2,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.7188888888889
2017,2,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.18
2017,2,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.70375
2017,2,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.49
2017,2,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.405
2017,2,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",18.0855555555556
2017,2,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.7966666666667
2017,2,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.5383333333333
2017,2,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.725
2017,2,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.8891666666667
2017,2,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.55
2017,2,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",17.09
2017,2,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.3233333333333
2017,3,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.5664285714286
2017,3,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.74625
2017,3,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",18.0707407407407
2017,3,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.312
2017,3,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",16.4475
2017,3,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",15.24375
2017,3,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.56
2017,3,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.98
2017,3,2319645.58177018,805748.229520169,6,"Colima","Colima",17.796
2017,3,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.27875
2017,3,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.76
2017,3,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.59
2017,3,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.82
2017,3,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.955
2017,3,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.78
2017,3,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.29
2017,3,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.7216666666667
2017,3,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.89
2017,3,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.63
2017,3,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.9566666666667
2017,3,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.1725
2017,3,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.6538461538462
2017,3,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.75875
2017,3,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",15.31375
2017,3,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.0858333333333
2017,3,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.26875
2017,3,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.695
2017,3,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.084
2017,3,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.8066666666667
2017,3,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.5708333333333
2017,3,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.4329411764706
2017,3,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.7014285714286
2017,3,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.765
2017,3,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.6222222222222
2017,3,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.096
2017,3,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.6175
2017,3,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.405
2017,3,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.31
2017,3,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",17.9944444444444
2017,3,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.71
2017,3,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.4483333333333
2017,3,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.6425
2017,3,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.7983333333333
2017,3,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.46
2017,3,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",17.0066666666667
2017,3,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.2366666666667
2017,4,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.54
2017,4,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.75
2017,4,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",18.0444444444444
2017,4,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.305
2017,4,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",15.4675
2017,4,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.975
2017,4,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.555
2017,4,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.9633333333333
2017,4,2319645.58177018,805748.229520169,6,"Colima","Colima",17.782
2017,4,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.24875
2017,4,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.75
2017,4,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.5778571428571
2017,4,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.8958333333333
2017,4,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.92
2017,4,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.785
2017,4,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.2627272727273
2017,4,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.7091666666667
2017,4,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.88
2017,4,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.6325
2017,4,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.94
2017,4,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.165
2017,4,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.6476923076923
2017,4,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.73375
2017,4,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",14.72875
2017,4,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.0741666666667
2017,4,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.21625
2017,4,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.6775
2017,4,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.068
2017,4,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.8016666666667
2017,4,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.55
2017,4,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.4188235294118
2017,4,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.6671428571429
2017,4,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.7375
2017,4,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.6177777777778
2017,4,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.071
2017,4,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.59375
2017,4,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.3825
2017,4,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.275
2017,4,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",17.9822222222222
2017,4,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.6766666666667
2017,4,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.4325
2017,4,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.6175
2017,4,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.7883333333333
2017,4,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.435
2017,4,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",16.9833333333333
2017,4,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.2233333333333
2017,5,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.484375
2017,5,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.765625
2017,5,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",17.9653125
2017,5,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.2358333333333
2017,5,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",14.63
2017,5,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.8925
2017,5,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.485
2017,5,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.8966666666667
2017,5,2319645.58177018,805748.229520169,6,"Colima","Colima",17.67
2017,5,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.18125
2017,5,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.698
2017,5,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.5114285714286
2017,5,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.8275
2017,5,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.8608333333333
2017,5,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.73
2017,5,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.1894117647059
2017,5,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.6625
2017,5,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.808
2017,5,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.5525
2017,5,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.8775
2017,5,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.11
2017,5,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.586
2017,5,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.65
2017,5,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",14.62875
2017,5,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.0075
2017,5,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.195
2017,5,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.6011111111111
2017,5,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.0075
2017,5,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.7508333333333
2017,5,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.4875
2017,5,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.354
2017,5,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.6025
2017,5,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.6775
2017,5,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.5563636363636
2017,5,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.045
2017,5,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.53
2017,5,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.3475
2017,5,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.194
2017,5,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",17.92
2017,5,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.6475
2017,5,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.3675
2017,5,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.5544444444444
2017,5,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.7158333333333
2017,5,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.3775
2017,5,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",16.98
2017,5,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.16
2017,6,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.36375
2017,6,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.638125
2017,6,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",17.830625
2017,6,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.1141666666667
2017,6,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",14.51
2017,6,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.74875
2017,6,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.3625
2017,6,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.79
2017,6,2319645.58177018,805748.229520169,6,"Colima","Colima",17.54125
2017,6,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.05625
2017,6,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.564
2017,6,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.3764285714286
2017,6,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.6991666666667
2017,6,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.7408333333333
2017,6,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.6425
2017,6,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.0647058823529
2017,6,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.5841666666667
2017,6,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.692
2017,6,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.4725
2017,6,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.755
2017,6,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",17.9975
2017,6,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.4513333333333
2017,6,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.5375
2017,6,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",14.50375
2017,6,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",16.8891666666667
2017,6,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.0875
2017,6,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.4844444444444
2017,6,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",17.894
2017,6,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.6283333333333
2017,6,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.3591666666667
2017,6,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.2335
2017,6,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.48
2017,6,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.55
2017,6,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.4145454545455
2017,6,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",16.9225
2017,6,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.405
2017,6,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.185
2017,6,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.066
2017,6,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",17.7984615384615
2017,6,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.7183333333333
2017,6,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.2466666666667
2017,6,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.41
2017,6,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.5958333333333
2017,6,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.25
2017,6,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",16.8541666666667
2017,6,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.0233333333333
2017,7,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.243125
2017,7,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.5275
2017,7,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",17.7240625
2017,7,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.01
2017,7,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",14.395
2017,7,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.64375
2017,7,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.26
2017,7,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.7333333333333
2017,7,2319645.58177018,805748.229520169,6,"Colima","Colima",17.435
2017,7,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",16.94875
2017,7,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.458
2017,7,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.2707142857143
2017,7,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.59
2017,7,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.6058333333333
2017,7,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.495
2017,7,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",17.9558823529412
2017,7,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.5675
